movie_title,movie_imdb_url,bechdel_rating
Ballerina  ,http://us.imdb.com/title/tt2261287/,3
Bang Gang  ,http://us.imdb.com/title/tt3838728/,3
Bar Bahar ,http://us.imdb.com/title/tt5974388/,3
Barbershop: The Next Cut  ,http://us.imdb.com/title/tt3628584/,3
Batman v Superman: Dawn of Justice  ,http://us.imdb.com/title/tt2975590/,2
Batman: Return of the Caped Crusaders  ,http://us.imdb.com/title/tt5973626/,1
Batman: The Killing Joke  ,http://us.imdb.com/title/tt4853102/,1
Be Somebody  ,http://us.imdb.com/title/tt5512872/,3
Belgica  ,http://us.imdb.com/title/tt3544218/,1
The Belko Experiment  ,http://us.imdb.com/title/tt1082807/,3
Below Her Mouth ,http://us.imdb.com/title/tt5073620/,3
Better Watch Out  ,http://us.imdb.com/title/tt4443658/,3
